year_week_id,staff_id,first_name,last_name,weekly_hours,weekly_wages
202543,st0004,Faraz,Peck,32.0000,864.00
202543,st0006,Seren,Lindsey,24.0000,552.00
202543,st0009,Lily-Rose,Vaughn,40.0000,800.00
202543,st0012,Jonathan,Bradford,40.0000,800.00
202543,st0015,Amiyah,Lambert,24.0000,408.00
202543,st0017,Nadia,Khan,24.0000,408.00
202543,st0023,Noah,Hayes,24.0000,408.00
202543,st0024,Sophia,Bennett,24.0000,408.00
202543,st0032,Chloe,Kelly,32.0000,960.00
202543,st0001,Mindy,Sloan,32.0000,864.00
202543,st0008,Zachery,Robins,40.0000,920.00
202543,st0013,Matilda,McCarty,40.0000,800.00
202543,st0010,Desiree,Gardner,40.0000,800.00
202543,st0021,Liam,Turner,24.0000,408.00
202543,st0022,Ava,Brooks,24.0000,408.00
202543,st0002,Luqman,Cantu,24.0000,648.00
202543,st0011,Ivan,English,32.0000,640.00
202543,st0031,Daniel,Morris,16.0000,480.00
202543,st0007,Talha,Portillo,24.0000,552.00
202543,st0034,Leah,Perry,8.0000,136.00
202543,st0016,Amrit,Greaves,24.0000,408.00
202543,st0014,Areeb,Vasquez,24.0000,408.00
202543,st0029,Jayden,Cruz,24.0000,432.00
202543,st0025,Ryan,Foster,24.0000,432.00
202543,st0026,Zoe,Simmons,24.0000,432.00
202543,st0018,Omar,Sheikh,24.0000,408.00
202543,st0020,Olivia,Reed,24.0000,408.00
202543,st0019,Ethan,Cole,24.0000,408.00
202543,st0028,Maya,Griffin,24.0000,432.00
202543,st0027,Lucas,Price,24.0000,432.00
202543,st0030,Hannah,Ward,24.0000,432.00
202543,st0005,Arran,Hodgson,8.0000,184.00
202543,st0003,Sana,Black,8.0000,216.00
202543,st0033,Isaac,Stone,8.0000,136.00
